X;Y;TEMPO
0;0;0
0,017320508075689;0,0099951;0,001
0,034641016151378;0,0199804;0,002
0,051961524227066;0,0299559;0,003
0,069282032302755;0,0399216;0,004
0,086602540378444;0,0498775;0,005
0,103923048454133;0,0598236;0,006
0,121243556529821;0,0697599;0,007
0,13856406460551;0,0796864;0,008
0,155884572681199;0,0896031;0,009
0,173205080756888;0,09951;0,01
0,190525588832577;0,1094071;0,011
0,207846096908265;0,1192944;0,012
0,225166604983954;0,1291719;0,013
0,242487113059643;0,1390396;0,014
0,259807621135332;0,1488975;0,015
0,27712812921102;0,1587456;0,016
0,294448637286709;0,1685839;0,017
0,311769145362398;0,1784124;0,018
0,329089653438087;0,1882311;0,019
0,346410161513776;0,19804;0,02
0,363730669589464;0,2078391;0,021
0,381051177665153;0,2176284;0,022
0,398371685740842;0,2274079;0,023
0,415692193816531;0,2371776;0,024
0,43301270189222;0,2469375;0,025
0,450333209967908;0,2566876;0,026
0,467653718043597;0,2664279;0,027
0,484974226119286;0,2761584;0,028
0,502294734194975;0,2858791;0,029
0,519615242270664;0,29559;0,03
0,536935750346352;0,3052911;0,031
0,554256258422041;0,3149824;0,032
0,57157676649773;0,3246639;0,033
0,588897274573419;0,3343356;0,034
0,606217782649108;0,3439975;0,035
0,623538290724796;0,3536496;0,036
0,640858798800485;0,3632919;0,037
0,658179306876174;0,3729244;0,038
0,675499814951863;0,3825471;0,039
0,692820323027551;0,39216;0,04
0,71014083110324;0,4017631;0,041
0,727461339178929;0,4113564;0,042
0,744781847254618;0,4209399;0,043
0,762102355330307;0,4305136;0,044
0,779422863405995;0,4400775;0,045
0,796743371481684;0,4496316;0,046
0,814063879557373;0,4591759;0,047
0,831384387633062;0,4687104;0,048
0,848704895708751;0,4782351;0,049
0,866025403784439;0,48775;0,05
0,883345911860128;0,4972551;0,051
0,900666419935817;0,5067504;0,052
0,917986928011506;0,5162359;0,053
0,935307436087195;0,5257116;0,054
0,952627944162883;0,5351775;0,055
0,969948452238572;0,5446336;0,056
0,987268960314261;0,5540799;0,057
1,00458946838995;0,5635164;0,058
1,02190997646564;0,5729431;0,059
1,03923048454133;0,58236;0,06
1,05655099261702;0,5917671;0,061
1,0738715006927;0,6011644;0,062
1,09119200876839;0,6105519;0,063
1,10851251684408;0,6199296;0,064
1,12583302491977;0,6292975;0,065
1,14315353299546;0,6386556;0,066
1,16047404107115;0,6480039;0,067
1,17779454914684;0,6573424;0,068
1,19511505722253;0,6666711;0,069
1,21243556529822;0,67599;0,07
1,2297560733739;0,6852991;0,071
1,24707658144959;0,6945984;0,072
1,26439708952528;0,7038879;0,073
1,28171759760097;0,7131676;0,074
1,29903810567666;0,7224375;0,075
1,31635861375235;0,7316976;0,076
1,33367912182804;0,7409479;0,077
1,35099962990373;0,7501884;0,078
1,36832013797941;0,7594191;0,079
1,3856406460551;0,76864;0,08
1,40296115413079;0,7778511;0,081
1,42028166220648;0,7870524;0,082
1,43760217028217;0,7962439;0,083
1,45492267835786;0,8054256;0,084
1,47224318643355;0,8145975;0,085
1,48956369450924;0,8237596;0,086
1,50688420258492;0,8329119;0,087
1,52420471066061;0,8420544;0,088
1,5415252187363;0,8511871;0,089
1,55884572681199;0,86031;0,09
1,57616623488768;0,8694231;0,091
1,59348674296337;0,8785264;0,092
1,61080725103906;0,8876199;0,093
1,62812775911475;0,8967036;0,094
1,64544826719044;0,9057775;0,095
1,66276877526612;0,9148416;0,096
1,68008928334181;0,9238959;0,097
1,6974097914175;0,9329404;0,098
1,71473029949319;0,9419751;0,099
1,73205080756888;0,951000000000001;0,1
1,74937131564457;0,960015100000001;0,101
1,76669182372026;0,969020400000001;0,102
1,78401233179595;0,978015900000001;0,103
1,80133283987163;0,987001600000001;0,104
1,81865334794732;0,995977500000001;0,105
1,83597385602301;1,0049436;0,106
1,8532943640987;1,0138999;0,107
1,87061487217439;1,0228464;0,108
1,88793538025008;1,0317831;0,109
1,90525588832577;1,04071;0,11
1,92257639640146;1,0496271;0,111
1,93989690447714;1,0585344;0,112
1,95721741255283;1,0674319;0,113
1,97453792062852;1,0763196;0,114
1,99185842870421;1,0851975;0,115
2,0091789367799;1,0940656;0,116
2,02649944485559;1,1029239;0,117
2,04381995293128;1,1117724;0,118
2,06114046100697;1,1206111;0,119
2,07846096908265;1,12944;0,12
2,09578147715834;1,1382591;0,121
2,11310198523403;1,1470684;0,122
2,13042249330972;1,1558679;0,123
2,14774300138541;1,1646576;0,124
2,1650635094611;1,1734375;0,125
2,18238401753679;1,1822076;0,126
2,19970452561248;1,1909679;0,127
2,21702503368816;1,1997184;0,128
2,23434554176385;1,2084591;0,129
2,25166604983954;1,21719;0,13
2,26898655791523;1,2259111;0,131
2,28630706599092;1,2346224;0,132
2,30362757406661;1,2433239;0,133
2,3209480821423;1,2520156;0,134
2,33826859021799;1,2606975;0,135
2,35558909829368;1,2693696;0,136
2,37290960636936;1,2780319;0,137
2,39023011444505;1,2866844;0,138
2,40755062252074;1,2953271;0,139
2,42487113059643;1,30396;0,14
2,44219163867212;1,3125831;0,141
2,45951214674781;1,3211964;0,142
2,4768326548235;1,3297999;0,143
2,49415316289918;1,3383936;0,144
2,51147367097487;1,3469775;0,145
2,52879417905056;1,3555516;0,146
2,54611468712625;1,3641159;0,147
2,56343519520194;1,3726704;0,148
2,58075570327763;1,3812151;0,149
2,59807621135332;1,38975;0,15
2,61539671942901;1,3982751;0,151
2,6327172275047;1,4067904;0,152
2,65003773558038;1,4152959;0,153
2,66735824365607;1,4237916;0,154
2,68467875173176;1,4322775;0,155
2,70199925980745;1,4407536;0,156
2,71931976788314;1,4492199;0,157
2,73664027595883;1,4576764;0,158
2,75396078403452;1,4661231;0,159
2,77128129211021;1,47456;0,16
2,78860180018589;1,4829871;0,161
2,80592230826158;1,4914044;0,162
2,82324281633727;1,4998119;0,163
2,84056332441296;1,5082096;0,164
2,85788383248865;1,5165975;0,165
2,87520434056434;1,5249756;0,166
2,89252484864003;1,5333439;0,167
2,90984535671572;1,5417024;0,168
2,92716586479141;1,5500511;0,169
2,94448637286709;1,55839;0,17
2,96180688094278;1,5667191;0,171
2,97912738901847;1,5750384;0,172
2,99644789709416;1,5833479;0,173
3,01376840516985;1,5916476;0,174
3,03108891324554;1,5999375;0,175
3,04840942132123;1,6082176;0,176
3,06572992939692;1,6164879;0,177
3,0830504374726;1,6247484;0,178
3,10037094554829;1,6329991;0,179
3,11769145362398;1,64124;0,18
3,13501196169967;1,6494711;0,181
3,15233246977536;1,6576924;0,182
3,16965297785105;1,6659039;0,183
3,18697348592674;1,6741056;0,184
3,20429399400243;1,6822975;0,185
3,22161450207811;1,6904796;0,186
3,2389350101538;1,6986519;0,187
3,25625551822949;1,7068144;0,188
3,27357602630518;1,7149671;0,189
3,29089653438087;1,72311;0,19
3,30821704245656;1,7312431;0,191
3,32553755053225;1,7393664;0,192
3,34285805860794;1,7474799;0,193
3,36017856668362;1,7555836;0,194
3,37749907475931;1,7636775;0,195
3,394819582835;1,7717616;0,196
3,41214009091069;1,7798359;0,197
3,42946059898638;1,7879004;0,198
3,44678110706207;1,7959551;0,199
3,46410161513776;1,804;0,2
3,48142212321345;1,8120351;0,201
3,49874263128914;1,8200604;0,202
3,51606313936482;1,8280759;0,203
3,53338364744051;1,8360816;0,204
3,5507041555162;1,8440775;0,205
3,56802466359189;1,8520636;0,206
3,58534517166758;1,8600399;0,207
3,60266567974327;1,8680064;0,208
3,61998618781896;1,8759631;0,209
3,63730669589465;1,88391;0,21
3,65462720397033;1,8918471;0,211
3,67194771204602;1,8997744;0,212
3,68926822012171;1,9076919;0,213
3,7065887281974;1,9155996;0,214
3,72390923627309;1,9234975;0,215
3,74122974434878;1,9313856;0,216
3,75855025242447;1,9392639;0,217
3,77587076050016;1,9471324;0,218
3,79319126857584;1,9549911;0,219
3,81051177665153;1,96284;0,22
3,82783228472722;1,9706791;0,221
3,84515279280291;1,9785084;0,222
3,8624733008786;1,9863279;0,223
3,87979380895429;1,9941376;0,224
3,89711431702998;2,0019375;0,225
3,91443482510567;2,0097276;0,226
3,93175533318136;2,0175079;0,227
3,94907584125704;2,0252784;0,228
3,96639634933273;2,0330391;0,229
3,98371685740842;2,04079;0,23
4,00103736548411;2,0485311;0,231
4,0183578735598;2,0562624;0,232
4,03567838163549;2,0639839;0,233
4,05299888971118;2,0716956;0,234
4,07031939778687;2,0793975;0,235
4,08763990586255;2,0870896;0,236
4,10496041393824;2,0947719;0,237
4,12228092201393;2,1024444;0,238
4,13960143008962;2,1101071;0,239
4,15692193816531;2,11776;0,24
4,174242446241;2,1254031;0,241
4,19156295431669;2,1330364;0,242
4,20888346239238;2,1406599;0,243
4,22620397046806;2,1482736;0,244
4,24352447854375;2,1558775;0,245
4,26084498661944;2,1634716;0,246
4,27816549469513;2,1710559;0,247
4,29548600277082;2,1786304;0,248
4,31280651084651;2,1861951;0,249
4,3301270189222;2,19375;0,25
4,34744752699789;2,2012951;0,251
4,36476803507357;2,2088304;0,252
4,38208854314926;2,2163559;0,253
4,39940905122495;2,2238716;0,254
4,41672955930064;2,2313775;0,255
4,43405006737633;2,2388736;0,256
4,45137057545202;2,2463599;0,257
4,46869108352771;2,2538364;0,258
4,4860115916034;2,2613031;0,259
4,50333209967909;2,26876;0,26
4,52065260775477;2,2762071;0,261
4,53797311583046;2,2836444;0,262
4,55529362390615;2,2910719;0,263
4,57261413198184;2,2984896;0,264
4,58993464005753;2,3058975;0,265
4,60725514813322;2,3132956;0,266
4,62457565620891;2,3206839;0,267
4,6418961642846;2,3280624;0,268
4,65921667236028;2,3354311;0,269
4,67653718043597;2,34279;0,27
4,69385768851166;2,3501391;0,271
4,71117819658735;2,3574784;0,272
4,72849870466304;2,3648079;0,273
4,74581921273873;2,3721276;0,274
4,76313972081442;2,3794375;0,275
4,78046022889011;2,3867376;0,276
4,79778073696579;2,3940279;0,277
4,81510124504148;2,4013084;0,278
4,83242175311717;2,4085791;0,279
4,84974226119286;2,41584;0,28
4,86706276926855;2,4230911;0,281
4,88438327734424;2,4303324;0,282
4,90170378541993;2,4375639;0,283
4,91902429349562;2,4447856;0,284
4,9363448015713;2,4519975;0,285
4,95366530964699;2,4591996;0,286
4,97098581772268;2,4663919;0,287
4,98830632579837;2,4735744;0,288
5,00562683387406;2,4807471;0,289
5,02294734194975;2,48791;0,29
5,04026785002544;2,4950631;0,291
5,05758835810113;2,5022064;0,292
5,07490886617681;2,5093399;0,293
5,0922293742525;2,5164636;0,294
5,10954988232819;2,5235775;0,295
5,12687039040388;2,5306816;0,296
5,14419089847957;2,5377759;0,297
5,16151140655526;2,5448604;0,298
5,17883191463095;2,5519351;0,299
5,19615242270664;2,559;0,3
5,21347293078232;2,5660551;0,301
5,23079343885801;2,5731004;0,302
5,2481139469337;2,5801359;0,303
5,26543445500939;2,5871616;0,304
5,28275496308508;2,5941775;0,305
5,30007547116077;2,6011836;0,306
5,31739597923646;2,6081799;0,307
5,33471648731215;2,6151664;0,308
5,35203699538784;2,6221431;0,309
5,36935750346352;2,62911;0,31
5,38667801153921;2,6360671;0,311
5,4039985196149;2,6430144;0,312
5,42131902769059;2,6499519;0,313
5,43863953576628;2,6568796;0,314
5,45596004384197;2,6637975;0,315
5,47328055191766;2,6707056;0,316
5,49060105999335;2,6776039;0,317
5,50792156806903;2,6844924;0,318
5,52524207614472;2,6913711;0,319
5,54256258422041;2,69824;0,32
5,5598830922961;2,7050991;0,321
5,57720360037179;2,7119484;0,322
5,59452410844748;2,7187879;0,323
5,61184461652317;2,7256176;0,324
5,62916512459886;2,7324375;0,325
